remark,CSV-Import-Export,,,,,
remark,Date = Tue Apr 03 13:17:41 2018,,,,,
remark,Version = RSLogix 5000 v19.01,,,,,
remark,Owner = ASE,,,,,
remark,Company = Keyence,,,,,
0.3,,,,,,
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,,IV:C,,AB:ETHERNET_MODULE:C:0,,
TAG,,IV:I,,AB:ETHERNET_MODULE_INT_392Bytes:I:0,,
COMMENT,,IV:I,Trigger response,,IV:I.DATA[0].0,
COMMENT,,IV:I,Master registration response,,IV:I.DATA[0].1,
COMMENT,,IV:I,Program switching response,,IV:I.DATA[0].2,
COMMENT,,IV:I,Warning clear response,,IV:I.DATA[0].3,
COMMENT,,IV:I,Statistics reset response,,IV:I.DATA[0].4,
COMMENT,,IV:I,Buffer clear response,,IV:I.DATA[0].5,
COMMENT,,IV:I,Reserved,,IV:I.DATA[0].6,
COMMENT,,IV:I,Setting value change response,,IV:I.DATA[0].7,
COMMENT,,IV:I,Trigger failed,,IV:I.DATA[0].8,
COMMENT,,IV:I,Master registration failed,,IV:I.DATA[0].9,
COMMENT,,IV:I,Program switching failed,,IV:I.DATA[0].10,
COMMENT,,IV:I,Reserved,,IV:I.DATA[0].11,
COMMENT,,IV:I,Reserved,,IV:I.DATA[0].12,
COMMENT,,IV:I,Reserved,,IV:I.DATA[0].13,
COMMENT,,IV:I,Reserved,,IV:I.DATA[0].14,
COMMENT,,IV:I,Setting value change failed,,IV:I.DATA[0].15,
COMMENT,,IV:I,Result available,,IV:I.DATA[1].0,
COMMENT,,IV:I,Result update complete,,IV:I.DATA[1].1,
COMMENT,,IV:I,Busy,,IV:I.DATA[1].2,
COMMENT,,IV:I,Imaging status,,IV:I.DATA[1].3,
COMMENT,,IV:I,Run,,IV:I.DATA[1].4,
COMMENT,,IV:I,Ready,,IV:I.DATA[1].5,
COMMENT,,IV:I,Reserved,,IV:I.DATA[1].6,
COMMENT,,IV:I,Reserved,,IV:I.DATA[1].7,
COMMENT,,IV:I,Reserved,,IV:I.DATA[1].8,
COMMENT,,IV:I,Reserved,,IV:I.DATA[1].9,
COMMENT,,IV:I,Reserved,,IV:I.DATA[1].10,
COMMENT,,IV:I,Reserved,,IV:I.DATA[1].11,
COMMENT,,IV:I,Reserved,,IV:I.DATA[1].12,
COMMENT,,IV:I,Buffer overrun,,IV:I.DATA[1].13,
COMMENT,,IV:I,Warning,,IV:I.DATA[1].14,
COMMENT,,IV:I,Error,,IV:I.DATA[1].15,
COMMENT,,IV:I,Overall judgment,,IV:I.DATA[2].0,
COMMENT,,IV:I,Position correction,,IV:I.DATA[2].1,
